Mobile Pie NOx data,,,
-------------------,,,
,,,
Data period : 30/06/2011 11:00 - 01/07/2011 11:00,,,
,,,
,,,
Date,Time,NO2 Brislington,NO2 Rupert Street
,,,
,,[ppb],[ppb]
30/06/2011,11:00:00,23.7,100.9
30/06/2011,11:15:00,15.6,63.2
30/06/2011,11:30:00,16.9,58.8
30/06/2011,11:45:00,18.1,55.6
30/06/2011,12:00:00,12.7,57.7
30/06/2011,12:15:00,9.9,61.5
30/06/2011,12:30:00,18.3,57.4
30/06/2011,12:45:00,13,63.1
30/06/2011,13:00:00,16.2,53.5
30/06/2011,13:15:00,17.6,49.4
30/06/2011,13:30:00,16.7,53.8
30/06/2011,13:45:00,13.9,61.7
30/06/2011,14:00:00,17.5,56.1
30/06/2011,14:15:00,25.4,64.6
30/06/2011,14:30:00,15.9,72.5
30/06/2011,14:45:00,11.1,66.1
30/06/2011,15:00:00,14.5,76.8
30/06/2011,15:15:00,16.9,63.9
30/06/2011,15:30:00,16,61.1
30/06/2011,15:45:00,13.9,56.3
30/06/2011,16:00:00,16.6,64.9
30/06/2011,16:15:00,11.7,69.2
30/06/2011,16:30:00,12.3,66.2
30/06/2011,16:45:00,10.6,74.5
30/06/2011,17:00:00,15.7,63.6
30/06/2011,17:15:00,15,64.2
30/06/2011,17:30:00,12.5,53
30/06/2011,17:45:00,11.8,66.1
30/06/2011,18:00:00,17.1,55.4
30/06/2011,18:15:00,15.6,49.4
30/06/2011,18:30:00,19.5,45.3
30/06/2011,18:45:00,14,44.7
30/06/2011,19:00:00,6.2,36.9
30/06/2011,19:15:00,4.3,34.2
30/06/2011,19:30:00,4.1,36
30/06/2011,19:45:00,4.3,30.1
30/06/2011,20:00:00,4.6,33.2
30/06/2011,20:15:00,5.8,36.8
30/06/2011,20:30:00,5.3,31
30/06/2011,20:45:00,6.3,34
30/06/2011,21:00:00,10.3,30.2
30/06/2011,21:15:00,11,34.8
30/06/2011,21:30:00,10.5,29.5
30/06/2011,21:45:00,12,35.1
30/06/2011,22:00:00,18,29.5
30/06/2011,22:15:00,17.1,29
30/06/2011,22:30:00,17.5,30.7
30/06/2011,22:45:00,16.9,29.1
30/06/2011,23:00:00,22,24.3
30/06/2011,23:15:00,27.6,25.2
30/06/2011,23:30:00,29.3,22.8
30/06/2011,23:45:00,29.3,26.4
01/07/2011,00:00:00,22.6,26.7
01/07/2011,00:15:00,22.2,22.9
01/07/2011,00:30:00,27.6,28.8
01/07/2011,00:45:00,24.8,26.4
01/07/2011,01:00:00,19,20.5
01/07/2011,01:15:00,14.1,25.2
01/07/2011,01:30:00,12.1,23.6
01/07/2011,01:45:00,11.4,21.5
01/07/2011,02:00:00,9.1,21.2
01/07/2011,02:15:00,9.8,19.4
01/07/2011,02:30:00,6.8,20.4
01/07/2011,02:45:00,6.6,19
01/07/2011,03:00:00,    ,18.1
01/07/2011,03:15:00,10.5,17.8
01/07/2011,03:30:00,14.2,17.4
01/07/2011,03:45:00,13.7,18.3
01/07/2011,04:00:00,17.1,21.2
01/07/2011,04:15:00,17,23.2
01/07/2011,04:30:00,16.1,27
01/07/2011,04:45:00,18.6,24.7
01/07/2011,05:00:00,19.9,27.1
01/07/2011,05:15:00,22.6,31.6
01/07/2011,05:30:00,19,45.7
01/07/2011,05:45:00,18.4,45.6
01/07/2011,06:00:00,21.6,53.9
01/07/2011,06:15:00,26,47
01/07/2011,06:30:00,19.1,73.7
01/07/2011,06:45:00,19.5,59.1
01/07/2011,07:00:00,21.8,56.8
01/07/2011,07:15:00,19.8,57.5
01/07/2011,07:30:00,23.6,72.7
01/07/2011,07:45:00,20.2,59.1
01/07/2011,08:00:00,21.8,64.1
01/07/2011,08:15:00,22,    
01/07/2011,08:30:00,23.9,    
01/07/2011,08:45:00,26.5,    
01/07/2011,09:00:00,22.6,    
01/07/2011,09:15:00,19.5,    
01/07/2011,09:30:00,15.7,    
01/07/2011,09:45:00,8.7,    
01/07/2011,10:00:00,11.5,    
01/07/2011,10:15:00,    ,    
01/07/2011,10:30:00,    ,    
01/07/2011,10:45:00,    ,    
